x,y
14.375000,14.875000
14.125000,14.625000
13.875000,14.625000
13.625000,14.625000
13.375000,14.375000
13.125000,14.375000
12.875000,14.125000
12.625000,14.125000
12.375000,14.125000
12.125000,14.125000
11.875000,14.125000
11.625000,13.875000
11.375000,13.625000
11.125000,13.625000
10.875000,13.375000
10.625000,13.125000
10.625000,12.875000
10.625000,12.625000
10.625000,12.375000
10.375000,12.125000
10.125000,11.875000
9.875000,11.625000
9.625000,11.625000
9.375000,11.375000
9.125000,11.125000
8.875000,10.875000
8.625000,10.625000
8.375000,10.375000
8.125000,10.125000
7.875000,9.875000
7.625000,9.625000
7.375000,9.375000
7.125000,9.125000
6.875000,8.875000
6.625000,8.625000
6.375000,8.375000
6.125000,8.125000
5.875000,7.875000
5.625000,7.875000
5.375000,7.875000
5.125000,7.875000
4.875000,7.875000
4.625000,7.625000
4.375000,7.625000
4.375000,7.375000
4.125000,7.125000
3.875000,6.875000
3.875000,6.625000
3.875000,6.375000
3.625000,6.125000
3.375000,5.875000
3.125000,5.625000
2.875000,5.375000
2.625000,5.125000
2.375000,4.875000
2.125000,4.625000
1.875000,4.375000
1.625000,4.125000
1.375000,3.875000
